Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI No
47,-,65,3,0,72.30,4,bowled,2,v Australia,Adelaide,9 Nov 2018,ODI # 4067
125,-,114,15,2,109.64,4,caught,1,v Australia,Hobart,11 Nov 2018,ODI # 4069
DNB,-,-,-,-,-,-,-,1,v Pakistan,Port Elizabeth,19 Jan 2019,ODI # 4080
8,8,8,2,0,100.00,4,caught,2,v Pakistan,Durban,22 Jan 2019,ODI # 4081
40*,66,42,3,1,95.23,4,not out,2,v Pakistan,Centurion,25 Jan 2019,ODI # 4084
57,86,76,5,1,75.00,4,caught,1,v Pakistan,Johannesburg,27 Jan 2019,ODI # 4087
50*,107,72,3,0,69.44,4,not out,2,v Pakistan,Cape Town,30 Jan 2019,ODI # 4090
112*,161,114,15,1,98.24,3,not out,2,v Sri Lanka,Johannesburg,3 Mar 2019,ODI # 4104
57,98,66,7,0,86.36,3,bowled,1,v Sri Lanka,Centurion,6 Mar 2019,ODI # 4107
36,51,27,7,0,133.33,3,caught,1,v Sri Lanka,Durban,10 Mar 2019,ODI # 4112
43,45,38,5,1,113.15,4,caught,2,v Sri Lanka,Port Elizabeth,13 Mar 2019,ODI # 4114
24,65,42,1,0,57.14,3,caught,2,v Sri Lanka,Cape Town,16 Mar 2019,ODI # 4115
5,11,7,1,0,71.42,4,caught,2,v England,The Oval,30 May 2019,ODI # 4143
62,64,53,5,1,116.98,3,bowled,2,v Bangladesh,The Oval,2 Jun 2019,ODI # 4147
38,77,54,4,0,70.37,3,bowled,1,v India,Southampton,5 Jun 2019,ODI # 4150
0*,9,7,0,0,0.00,4,not out,1,v West Indies,Southampton,10 Jun 2019,ODI # 4156
DNB,-,-,-,-,-,-,-,2,v Afghanistan,Cardiff,15 Jun 2019,ODI # 4160
23,53,35,4,0,65.71,3,bowled,1,v New Zealand,Birmingham,19 Jun 2019,ODI # 4165
63,112,79,5,0,79.74,3,caught,2,v Pakistan,Lord's,23 Jun 2019,ODI # 4171
96*,103,103,10,1,93.20,3,not out,2,v Sri Lanka,Chester-le-Street,28 Jun 2019,ODI # 4176
100,125,94,7,2,106.38,3,caught,1,v Australia,Manchester,6 Jul 2019,ODI # 4188
